ID,location,date,time,total,new 
0,Airport,2020-02-21,9:00,,0
0,Airport,2020-02-21,16:00,,0
1,Busan,2020-02-21,9:00,,0
1,Busan,2020-02-21,16:00,,0
2,Chung-buk,2020-02-21,9:00,,1
2,Chung-buk,2020-02-21,16:00,,0
3,Chung-nam,2020-02-21,9:00,,1
3,Chung-nam,2020-02-21,16:00,,0
4,Daegu,2020-02-21,9:00,,38
4,Daegu,2020-02-21,16:00,,42
5,Daejeon,2020-02-21,9:00,,0
5,Daejeon,2020-02-21,16:00,,0
6,Gangwon,2020-02-21,9:00,,0
6,Gangwon,2020-02-21,16:00,,0
7,Gwangju,2020-02-21,9:00,,1
7,Gwangju,2020-02-21,16:00,,1
8,Gyeonggi,2020-02-21,9:00,,1
8,Gyeonggi,2020-02-21,16:00,,1
9,Gyeong-buk,2020-02-21,9:00,,3
9,Gyeong-buk,2020-02-21,16:00,,0
10,Gyeong-nam,2020-02-21,9:00,,2
10,Gyeong-nam,2020-02-21,16:00,,2
11,Incheon,2020-02-21,9:00,,0
11,Incheon,2020-02-21,16:00,,0
12,Jeju,2020-02-21,9:00,,1
12,Jeju,2020-02-21,16:00,,0
13,Jeon-buk,2020-02-21,9:00,,1
13,Jeon-buk,2020-02-21,16:00,,0
14,Jeon-nam,2020-02-21,9:00,,0
14,Jeon-nam,2020-02-21,16:00,,0
15,Sejong,2020-02-21,9:00,,0
15,Sejong,2020-02-21,16:00,,0
16,Seoul,2020-02-21,9:00,,3
16,Seoul,2020-02-21,16:00,,2
17,Ulsan,2020-02-21,9:00,,0
17,Ulsan,2020-02-21,16:00,,0
0,Airport,2020-02-22,9:00,,0
0,Airport,2020-02-22,16:00,,0
1,Busan,2020-02-22,9:00,,2
1,Busan,2020-02-22,16:00,,1
2,Chung-buk,2020-02-22,9:00,,2
2,Chung-buk,2020-02-22,16:00,,0
3,Chung-nam,2020-02-22,9:00,,0
3,Chung-nam,2020-02-22,16:00,,0
4,Daegu,2020-02-22,9:00,,28
4,Daegu,2020-02-22,16:00,,55
5,Daejeon,2020-02-22,9:00,,1
5,Daejeon,2020-02-22,16:00,,1
6,Gangwon,2020-02-22,9:00,,0
6,Gangwon,2020-02-22,16:00,,5
7,Gwangju,2020-02-22,9:00,,1
7,Gwangju,2020-02-22,16:00,,2
8,Gyeonggi,2020-02-22,9:00,,2
8,Gyeonggi,2020-02-22,16:00,,4
9,Gyeong-buk,2020-02-22,9:00,,103
9,Gyeong-buk,2020-02-22,16:00,,14
10,Gyeong-nam,2020-02-22,9:00,,0
10,Gyeong-nam,2020-02-22,16:00,,0
11,Incheon,2020-02-22,9:00,,0
11,Incheon,2020-02-22,16:00,,0
12,Jeju,2020-02-22,9:00,,1
12,Jeju,2020-02-22,16:00,,0
13,Jeon-buk,2020-02-22,9:00,,1
13,Jeon-buk,2020-02-22,16:00,,0
14,Jeon-nam,2020-02-22,9:00,,0
14,Jeon-nam,2020-02-22,16:00,,1
15,Sejong,2020-02-22,9:00,,1
15,Sejong,2020-02-22,16:00,,0
16,Seoul,2020-02-22,9:00,,0
16,Seoul,2020-02-22,16:00,,3
17,Ulsan,2020-02-22,9:00,,0
17,Ulsan,2020-02-22,16:00,,1
0,Airport,2020-02-23,9:00,,0
0,Airport,2020-02-23,16:00,,
1,Busan,2020-02-23,9:00,,2
1,Busan,2020-02-23,16:00,,6
2,Chung-buk,2020-02-23,9:00,,0
2,Chung-buk,2020-02-23,16:00,,
3,Chung-nam,2020-02-23,9:00,,0
3,Chung-nam,2020-02-23,16:00,,
4,Daegu,2020-02-23,9:00,,93
4,Daegu,2020-02-23,16:00,,24
5,Daejeon,2020-02-23,9:00,,0
5,Daejeon,2020-02-23,16:00,,1
6,Gangwon,2020-02-23,9:00,,0
6,Gangwon,2020-02-23,16:00,,
7,Gwangju,2020-02-23,9:00,,1
7,Gwangju,2020-02-23,16:00,,1
8,Gyeonggi,2020-02-23,9:00,,2
8,Gyeonggi,2020-02-23,16:00,,2
9,Gyeong-buk,2020-02-23,9:00,,20
9,Gyeong-buk,2020-02-23,16:00,,5
10,Gyeong-nam,2020-02-23,9:00,,4
10,Gyeong-nam,2020-02-23,16:00,,6
11,Incheon,2020-02-23,9:00,,0
11,Incheon,2020-02-23,16:00,,
12,Jeju,2020-02-23,9:00,,1
12,Jeju,2020-02-23,16:00,,
13,Jeon-buk,2020-02-23,9:00,,0
13,Jeon-buk,2020-02-23,16:00,,
14,Jeon-nam,2020-02-23,9:00,,0
14,Jeon-nam,2020-02-23,16:00,,
15,Sejong,2020-02-23,9:00,,0
15,Sejong,2020-02-23,16:00,,
16,Seoul,2020-02-23,9:00,,0
16,Seoul,2020-02-23,16:00,,1
17,Ulsan,2020-02-23,9:00,,0
17,Ulsan,2020-02-23,16:00,,
0,Airport,2020-02-24,9:00,,
1,Busan,2020-02-24,9:00,,2
2,Chung-buk,2020-02-24,9:00,,
